Time,Original_Signal,Cleaned_Signal,Artifacts_Detected
122.523,0.0137254901960784,-0.10925803214387043,0
122.524,0.109803921568627,-0.21458138687385014,0
122.525,0.233333333333333,-0.3345783132887441,0
122.526,0.354901960784314,-0.46696334021214014,0
122.527,0.133333333333333,-0.6084713555348678,0
122.528,-0.317647058823529,-0.7550947426929393,0
122.529,-0.47843137254902,-0.9024223708813485,0
122.53,-0.317647058823529,-1.046018689724899,0
122.531,-0.172549019607843,-1.181769949871534,0
122.532,-0.117647058823529,-1.3061396547088673,0
122.533,-0.12156862745098,-1.4163068750152787,0
122.534,-0.111764705882353,-1.5101917400466551,0
122.535,-0.117647058823529,-1.5863914607349254,0
122.536,-0.101960784313725,-1.6440573390064894,0
122.537,-0.111764705882353,-1.6827430048365912,0
122.538,-0.101960784313725,-1.7022505180087595,0
122.539,-0.105882352941176,-1.702495845298071,0
122.54,-0.096078431372549,-1.6834093620967154,0
122.541,-0.105882352941176,-1.6448809141104024,0
122.542,-0.111764705882353,-1.5867529781966598,0
122.543,-0.096078431372549,-1.5088599041837822,0
122.544,-0.111764705882353,-1.4111064472656845,0
122.545,-0.101960784313725,-1.2935750807980069,0
122.546,-0.117647058823529,-1.1566489811494969,0
122.547,-0.096078431372549,-1.001136094885619,0
122.548,-0.105882352941176,-0.82837941223758,0
122.549,-0.0862745098039216,-0.6403395376055083,0
122.55,-0.092156862745098,-0.43963775906313063,0
122.551,-0.0607843137254902,-0.22955088747020239,0
122.552,-0.0470588235294118,-0.013953038456593984,0
122.553,-0.0117647058823529,0.2027958692962876,0
122.554,0.0078431372549019,0.4160101591584015,0
122.555,0.0529411764705882,0.6208774317045193,0
122.556,0.0745098039215686,0.8126829049518152,0
122.557,0.119607843137255,0.987042347558704,0
122.558,0.13921568627451,1.1401253136548863,0
122.559,0.168627450980392,1.2688505325068586,0
122.56,0.17843137254902,1.371037318779158,0
122.561,0.188235294117647,1.445500683716912,0
122.562,0.164705882352941,1.4920831214102181,0
122.563,0.164705882352941,1.5116222166945252,0
122.564,0.133333333333333,1.5058594072901266,0
122.565,0.129411764705882,1.4773004581347038,0
122.566,0.109803921568627,1.4290417082031035,0
122.567,0.0980392156862745,1.3645776476702118,0
122.568,0.0843137254901961,1.2876050859694805,0
122.569,0.0686274509803922,1.2018375692509475,0
122.57,0.0529411764705882,1.1108412962567455,0
122.571,0.0490196078431373,1.0179008887019592,0
122.572,0.0529411764705882,0.9259201423187966,0
122.573,0.0431372549019608,0.8373594437360061,0
122.574,0.0627450980392157,0.7542081580680746,0
122.575,0.0588235294117647,0.6779873671888932,0
122.576,0.0745098039215686,0.6097762257199224,0
122.577,0.0745098039215686,0.5502541354730461,0
122.578,0.0784313725490196,0.49975102300803675,0
122.579,0.0588235294117647,0.45829916105900126,0
122.58,0.0686274509803922,0.4256818740559328,0
122.581,0.0529411764705882,0.40147654739169186,0
122.582,0.0588235294117647,0.3850910264260592,0
122.583,0.0431372549019608,0.3757934284256657,0
122.584,0.0431372549019608,0.3727356545720943,0
122.585,0.0333333333333333,0.3749707126008705,0
122.586,0.0490196078431373,0.38146356770807327,0
122.587,0.0294117647058824,0.3910948746338108,0
122.588,0.0431372549019608,0.4026569649843711,0
122.589,0.0235294117647059,0.4148422449441444,0
122.59,0.0176470588235294,0.4262258306629699,0
122.591,0.0039215686274509,0.4352465421763044,0
122.592,0.0078431372549019,0.4401926767177699,0
122.593,0.0176470588235294,0.43920055614943526,0
122.594,0.0137254901960784,0.4302741979070509,0
122.595,-0.0019607843137254,0.41133356909962704,0
122.596,-0.0019607843137254,0.3802969551884866,0
122.597,0.0078431372549019,0.3351999638640851,0
122.598,-0.0058823529411764,0.2743492532787278,0
122.599,0.0078431372549019,0.19650308699100288,0
122.6,-0.0019607843137254,0.10106366639890306,0
122.601,0.0490196078431373,-0.011741391190040466,0
122.602,0.158823529411765,-0.1407180571983788,0
122.603,0.290196078431373,-0.28363948369730946,0
122.604,0.335294117647059,-0.4372865261005085,0
122.605,-0.0058823529411764,-0.5976146009948196,0
122.606,-0.392156862745098,-0.7600398080471766,0
122.607,-0.468627450980392,-0.9198032055885705,0
122.608,-0.301960784313725,-1.0723458303542135,0
122.609,-0.150980392156863,-1.213623793839247,0
122.61,-0.12156862745098,-1.340314758287865,0
122.611,-0.105882352941176,-1.4499010961175973,0
122.612,-0.101960784313725,-1.5406441494064935,0
122.613,-0.096078431372549,-1.61147977272504,0
122.614,-0.105882352941176,-1.661869130788317,0
122.615,-0.101960784313725,-1.6916356145719178,0
122.616,-0.096078431372549,-1.7008127431332,0
122.617,-0.105882352941176,-1.6895211392780711,0
122.618,-0.096078431372549,-1.6578860491654142,0
122.619,-0.117647058823529,-1.6060007954844369,0
122.62,-0.096078431372549,-1.5339361988659472,0
122.621,-0.101960784313725,-1.441791551568038,0
122.622,-0.096078431372549,-1.3297792499472145,0
122.623,-0.12156862745098,-1.1983325239981848,0
122.624,-0.096078431372549,-1.048223645839,0
122.625,-0.101960784313725,-0.880678656526733,0
122.626,-0.096078431372549,-0.69747434714047,0
122.627,-0.096078431372549,-0.5010041204001118,0
122.628,-0.0725490196078431,-0.2943013823078745,0
122.629,-0.0509803921568627,-0.08101226632811923,0
122.63,-0.0215686274509804,0.13468621859262223,0
122.631,-0.0058823529411764,0.34822140816209013,0
122.632,0.0431372549019608,0.5548070361230407,0
122.633,0.0686274509803922,0.7496606537376775,0
122.634,0.0980392156862745,0.9282408768177509,0
122.635,0.119607843137255,1.0864861466446922,0
122.636,0.158823529411765,1.2210355687674874,0
122.637,0.17843137254902,1.3294130549499086,0
122.638,0.184313725490196,1.4101584579185922,0
122.639,0.174509803921569,1.4628937198670502,0
122.64,0.164705882352941,1.488318111750659,0
122.641,0.13921568627451,1.4881336933678837,0
122.642,0.13921568627451,1.4649089574589622,0
122.643,0.123529411764706,1.4218940796571389,0
122.644,0.0941176470588235,1.362804676002024,0
122.645,0.0784313725490196,1.2915924653035256,0
122.646,0.0745098039215686,1.2122209582049268,0
122.647,0.0784313725490196,1.1284623697939993,0
122.648,0.0490196078431373,1.0437286076686367,0
